seq,mode,abs_rel,mae_cm,rmse_cm,rmse_log,d1,d2,d3,n_frames
St_1,aligned-LSQ,0.19346464,0.49329847,0.7790937,0.2576243,0.6618337090039672,0.9227961643983531,0.9789174145183368,400
St_7,aligned-LSQ,0.15268932,0.27532876,0.46056598,0.19770554,0.7709659180248807,0.9677141057842041,0.9955511360633195,400
St_14,aligned-LSQ,0.1836359,0.42020315,0.69730794,0.24238053,0.6846830972264111,0.9319946047572842,0.9855586668369573,400
St_24,aligned-LSQ,0.18189758,0.42952722,0.6865723,0.24042939,0.6902304668327424,0.9357986137107824,0.9843700074784477,400
St_28,aligned-LSQ,0.1473329,0.20673473,0.3612223,0.18552025,0.7990845259167142,0.9745487280160476,0.9975029733448617,400
St_1,raw,5.4550304,9.548904,9.608693,1.8125439,0.0034036099119078814,0.011187403355064298,0.02625962433140941,400
St_7,raw,7.9793243,9.739112,9.7620535,2.1349537,5.721856267755305e-05,0.0007733035860497323,0.0038526085082342216,400
St_14,raw,6.2401457,9.54608,9.593407,1.921617,0.002694027813104244,0.0073951380662158625,0.018143353286958937,400
St_24,raw,5.8631043,9.669119,9.71176,1.877811,0.0017117288873389437,0.008312998070263967,0.02002764446327575,400
St_28,raw,10.819523,10.513414,10.527646,2.4227438,4.95448256900556e-05,9.207190260422168e-05,0.0005068941570872594,400
OVERALL,aligned-LSQ,0.17367454,0.3760964,0.6323125,0.22922987,0.7157824942844608,0.9444606923702762,0.9876733703723434,2000
OVERALL,raw,7.1099086,9.777602,9.821967,2.0269895,0.0016866253365781473,0.005911708734863112,0.014579302602026407,2000
